run,alpha,eps,beta,epochs,batch_size,hidden,dropout,seed,device,min_test_loss
sweep109,2.6826957952797274e-05,0.00013894954943731373,0.78,100,128,128,0.2,42,cpu,7.13915748
sweep110,2.6826957952797274e-05,0.00013894954943731373,0.85,100,128,128,0.2,42,cpu,581.26903212
sweep111,2.6826957952797274e-05,0.00013894954943731373,0.9199999999999999,100,128,128,0.2,42,cpu,15.14764679
sweep112,2.6826957952797274e-05,0.00013894954943731373,0.99,100,128,128,0.2,42,cpu,30417.45624242
sweep113,2.6826957952797274e-05,0.0003727593720314938,0.5,100,128,128,0.2,42,cpu,39.81390565
sweep114,2.6826957952797274e-05,0.0003727593720314938,0.57,100,128,128,0.2,42,cpu,994.12649056
sweep115,2.6826957952797274e-05,0.0003727593720314938,0.64,100,128,128,0.2,42,cpu,51.3823334
sweep116,2.6826957952797274e-05,0.0003727593720314938,0.71,100,128,128,0.2,42,cpu,686.05527166
sweep117,2.6826957952797274e-05,0.0003727593720314938,0.78,100,128,128,0.2,42,cpu,3.12708746
sweep118,2.6826957952797274e-05,0.0003727593720314938,0.85,100,128,128,0.2,42,cpu,1329611.40194175
sweep119,2.6826957952797274e-05,0.0003727593720314938,0.9199999999999999,100,128,128,0.2,42,cpu,1.83737023
sweep120,2.6826957952797274e-05,0.0003727593720314938,0.99,100,128,128,0.2,42,cpu,1426393.77803398
sweep121,2.6826957952797274e-05,0.001,0.5,100,128,128,0.2,42,cpu,1.78937482
sweep122,2.6826957952797274e-05,0.001,0.57,100,128,128,0.2,42,cpu,136.82014562
sweep123,2.6826957952797274e-05,0.001,0.64,100,128,128,0.2,42,cpu,55.9727018
sweep124,2.6826957952797274e-05,0.001,0.71,100,128,128,0.2,42,cpu,63.63607473
sweep125,2.6826957952797274e-05,0.001,0.78,100,128,128,0.2,42,cpu,205.29958378
sweep126,2.6826957952797274e-05,0.001,0.85,100,128,128,0.2,42,cpu,52784.16447209
sweep127,2.6826957952797274e-05,0.001,0.9199999999999999,100,128,128,0.2,42,cpu,101.76605913
